id,name,artists,acousticness,valence,energy,danceability,instrumentalness,loudness,speechiness,tempo,popularity,pop_grade
7xYnUQigPoIDAMPVK79NEq,Run It! (feat. Juelz Santana),"['Chris Brown', 'Juelz Santana']",0.0246,0.212,0.482,0.846,0.0,-6.721,0.129,100.969,71.0,2
4pmc2AxSEq6g7hPVlJCPyP,"Jumpin', Jumpin'","[""Destiny's Child""]",0.00543,0.6829999999999999,0.685,0.7709999999999999,0.00157,-4.638999999999999,0.0567,88.99700000000001,70.0,2
215JYyyUnrJ98NK3KEwu6d,Soak Up The Sun,['Sheryl Crow'],0.0398,0.713,0.733,0.7170000000000001,0.0,-4.985,0.0427,119.996,59.0,1
19Js5ypV6JKn4DMExHQbGc,Stacy's Mom,['Bowling For Soup'],0.00349,0.813,0.8009999999999999,0.728,0.000195,-3.636,0.0752,119.989,62.0,2
1JURww012QnWAw0zZXi6Aa,Just the Girl,['The Click Five'],0.00509,0.7509999999999999,0.89,0.5710000000000001,0.0,-1.6,0.0395,110.958,61.0,2
7DFnq8FYhHMCylykf6ZCxA,Yo (Excuse Me Miss),['Chris Brown'],0.119,0.57,0.612,0.536,0.0,-5.847,0.272,86.76799999999999,73.0,3
1Y4ZdPOOgCUhBcKZOrUFiS,Lip Gloss,['Lil Mama'],0.41,0.94,0.87,0.619,1.37e-06,-4.956,0.501,188.772,64.0,2
67T6l4q3zVjC5nZZPXByU8,Whatcha Say,['Jason Derulo'],0.0444,0.711,0.711,0.615,0.0,-5.5070000000000014,0.0779,144.036,68.0,2
34ceTg8ChN5HjrqiIYCn9Q,Miss Independent,['Ne-Yo'],0.522,0.713,0.6829999999999999,0.6729999999999999,0.0,-5.693,0.115,171.86,68.0,2
5Q0Nhxo0l2bP3pNjpGJwV1,Party In The U.S.A.,['Miley Cyrus'],0.00112,0.47,0.698,0.652,0.000115,-4.667,0.042,96.021,74.0,3
6GIrIt2M39wEGwjCQjGChX,The Great Escape,['Boys Like Girls'],0.00166,0.505,0.94,0.423,0.0,-4.012,0.0635,149.934,63.0,2
69ghzc538EQSVon2Gm3wrr,One Less Lonely Girl,['Justin Bieber'],0.159,0.728,0.75,0.58,0.0,-4.421,0.194,86.93799999999996,69.0,2
7oK9VyNzrYvRFo7nQEYkWN,Mr. Brightside,['The Killers'],0.00101,0.232,0.924,0.356,0.0,-3.74,0.0808,148.017,76.0,3
5lDriBxJd22IhOH9zTcFrV,Dirty Little Secret,['The All-American Rejects'],0.000346,0.458,0.954,0.465,5.38e-06,-4.251,0.044,143.85,70.0,2
3jkdQNkDTxxXtjSO4l0o1H,How Do You Sleep? - Radio Edit Remix,"['Jesse McCartney', 'Ludacris']",0.343,0.557,0.878,0.747,0.0,-3.533,0.0282,106.004,55.0,1
6sqNctd7MlJoKDOxPVCAvU,My Happy Ending,['Avril Lavigne'],0.00136,0.74,0.936,0.414,0.0,-2.407,0.0758,170.229,69.0,2
0HDaKOlVAfUWXdFR2RhBtN,Down,['311'],0.000179,0.565,0.922,0.441,1.97e-06,-6.644,0.0655,175.41099999999997,59.0,1
3jS7bB0oXVOwGFZn3aE5NV,You Oughta Know - 2015 Remaster,['Alanis Morissette'],0.21,0.411,0.8340000000000001,0.665,0.0,-7.737,0.0576,105.292,68.0,2
0wvIGFIgbyz4JNwQhZgTv2,Rooster,['Alice In Chains'],0.0307,0.202,0.551,0.269,0.000619,-8.456,0.0274,144.408,69.0,2
6gZVQvQZOFpzIy3HblJ20F,Man in the Box,['Alice In Chains'],0.00045,0.758,0.7909999999999999,0.355,0.0,-7.565,0.0453,106.392,73.0,3
0ttHpMs250dpFkCYAnuhnE,Good,['Better Than Ezra'],0.000372,0.792,0.657,0.615,0.0204,-6.8729999999999976,0.029,109.95,63.0,2
6txWz9UapYHVxEd7dDIHXT,No Rain,['Blind Melon'],0.619,0.5660000000000001,0.476,0.389,5.09e-05,-9.342,0.0316,148.11700000000005,74.0,3
500Tkm3vJmVtdUwdCVxCTb,Run-Around,['Blues Traveler'],0.0865,0.8759999999999999,0.867,0.629,0.0,-7.307,0.0603,151.695,63.0,2
27IRo2rYeizhRMDaNVplNM,Hook,['Blues Traveler'],0.0369,0.7929999999999999,0.742,0.562,1.47e-06,-6.355,0.0346,165.6,62.0,2
5YScXJKtefsgdskIy60N7A,Tubthumping,['Chumbawamba'],0.106,0.622,0.871,0.263,0.0,-7.496,0.131,206.68,62.0,2
5DiXcVovI0FcY2s0icWWUu,Mr. Jones,['Counting Crows'],0.183,0.726,0.8170000000000001,0.578,3.06e-06,-6.5420000000000025,0.0363,141.621,77.0,3
1tjKIXd7DYNklhVSgBxREi,A Long December,['Counting Crows'],0.472,0.381,0.579,0.388,0.00055,-6.983,0.0286,70.66199999999998,63.0,2
5NLUcVnVHfnkt4uUexWdIH,So Much to Say,['Dave Matthews Band'],0.0109,0.838,0.78,0.715,0.0017,-6.688,0.0327,115.897,51.0,1
75HZ6Wxnw8xbgz6HU9kKCS,Barely Breathing,['Duncan Sheik'],0.0281,0.516,0.807,0.482,0.0,-6.976,0.0457,187.918,59.0,1
5K7AMlpc4796JRWXb26nCV,I'll Be,['Edwin McCain'],0.386,0.426,0.609,0.371,0.0,-5.524,0.0295,136.526,71.0,2
4GiVcDqNQI0fc0yYuRGH9m,Inside Out,['Eve 6'],0.114,0.691,0.818,0.483,0.0,-7.666,0.0444,175.668,67.0,2
0hRK7UKSKVS5a18mxYT6pO,Hooch,['Everything'],0.032,0.602,0.8029999999999999,0.69,2.01e-05,-6.549,0.0354,95.959,46.0,1
6PNvv1dmDbOWrAYwEcuKBX,Criminal,['Fiona Apple'],0.0129,0.586,0.804,0.595,1.97e-05,-7.911,0.0326,89.846,61.0,2
5OQsiBsky2k2kDKy2bX2eT,Learn to Fly,['Foo Fighters'],1.83e-05,0.537,0.919,0.465,2.07e-05,-4.025,0.0408,135.997,75.0,3
74KI6d8jEM2zwOAo3luayU,Shimmer,['Fuel'],0.00236,0.4320000000000001,0.795,0.479,0.0,-6.408,0.0421,114.675,63.0,2
4o7ZPI2fmEi3piRe0Hrfpy,Hey Jealousy,['Gin Blossoms'],0.000179,0.4970000000000001,0.797,0.471,6.49e-06,-8.407,0.0389,152.903,61.0,2
0nnwn7LWHCAu09jfuH1xTA,Slide,['The Goo Goo Dolls'],0.00483,0.481,0.843,0.395,0.0,-4.476,0.0374,112.423,70.0,2
0RZuCBV900eNA2FXCQ3uUM,Broadway,['The Goo Goo Dolls'],0.0005549999999999,0.757,0.878,0.527,0.0,-5.704,0.0424,132.791,50.0,1
5zmaypMaWb21FUGBxbw8hT,Black Balloon,['The Goo Goo Dolls'],0.057,0.334,0.625,0.339,0.000102,-8.57,0.028,104.68,59.0,1
6Qyc6fS4DsZjB2mRW9DsQs,Iris,['The Goo Goo Dolls'],0.00125,0.4970000000000001,0.715,0.315,7.97e-06,-8.072000000000001,0.0362,155.925,78.0,3
3LRJbFT9rKoKv4aW7PuBJC,Longview,['Green Day'],0.00834,0.8140000000000001,0.732,0.381,0.0101,-7.5939999999999985,0.0536,142.504,67.0,2
7cz70nyRXlCJOE85whEkgU,Flagpole Sitta,['Harvey Danger'],0.00152,0.482,0.901,0.361,0.000263,-4.133,0.0443,144.97,63.0,2
1OFKUn2VLafrHj7ybnap0Q,Only Wanna Be with You,['Hootie & The Blowfish'],0.107,0.513,0.873,0.49,5.19e-06,-5.8610000000000015,0.0355,103.272,70.0,2
7c1Dar0pIAW7w5TzaGjt9t,Jane Says,"[""Jane's Addiction""]",0.0385,0.496,0.597,0.402,2.09e-06,-9.258,0.0327,81.806,66.0,2
3LpnzPxkMI6XS4JCbhNeek,I Alone,['Live'],0.00228,0.0992,0.8170000000000001,0.396,0.00417,-7.282,0.045,90.264,63.0,2
0sqE6XPi9VAaWl5NxDyMQK,All Over You,['Live'],0.00463,0.352,0.835,0.32,1.06e-06,-5.902,0.0572,132.105,59.0,1
5mkGfmJGFZpwK9nA5amOhv,Sex & Candy,['Marcy Playground'],0.238,0.63,0.5579999999999999,0.67,0.0,-9.159,0.0251,80.51100000000002,67.0,2
5vYA1mW9g2Coh1HUFUSmlb,3AM,['Matchbox Twenty'],0.00573,0.5429999999999999,0.6729999999999999,0.521,0.0,-8.685,0.0284,108.031,71.0,2
70fe354BpVKEvMY0de78YO,Real World,['Matchbox Twenty'],0.00628,0.884,0.7609999999999999,0.504,0.0,-5.4460000000000015,0.0437,117.999,61.0,2
2KVwlelhxKUy8LVV6JypH3,Push,['Matchbox Twenty'],0.0067,0.476,0.672,0.42,0.0,-7.902,0.027,168.019,71.0,2
1LzNfuep1bnAUR9skqdHCK,Fade Into You,['Mazzy Star'],0.245,0.175,0.33,0.42,0.000679,-13.925,0.0275,157.143,72.0,2
11LmqTE2naFULdEP94AUBa,Heart-Shaped Box,['Nirvana'],0.199,0.382,0.6409999999999999,0.256,0.0329,-10.283,0.0552,203.006,75.0,3
5ghIJDpPoe3CfHMGu71E6T,Smells Like Teen Spirit,['Nirvana'],2.55e-05,0.72,0.912,0.502,0.000173,-4.556,0.0564,116.761,75.0,3
30HCB1FoE77IfGRyNv4eFq,In Bloom - Nevermind Version,['Nirvana'],3.33e-05,0.512,0.8759999999999999,0.436,0.000104,-4.902,0.0647,157.04399999999995,65.0,2
2YodwKJnbPyNKe8XXSE9V7,Lithium,['Nirvana'],0.0017399999999999,0.485,0.6559999999999999,0.6779999999999999,0.0,-6.41,0.0381,123.207,68.0,2
4P5KoWXOxwuobLmHXLMobV,Come As You Are,['Nirvana'],0.00016,0.539,0.8240000000000001,0.5,0.00161,-5.846,0.0388,120.125,72.0,2
5qqabIl2vWzo9ApSC317sa,Wonderwall - Remastered,Oasis,0.000452,0.472,0.896,0.376,0.0,-4.065,0.0395,174.379,79.0,3
1wo3UYTeizJHkwYIuLuBPF,Champagne Supernova - Remastered,Oasis,0.464,0.123,0.825,0.297,0.0833,-3.771,0.0394,150.339,69.0,2
62nQ8UZVqR2RMvkJHkcO2o,Jeremy,['Pearl Jam'],0.0404,0.287,0.846,0.285,0.0,-6.472,0.0438,108.808,73.0,3
2B98ljvzqpCVgt5reTHq28,Better Man,['Pearl Jam'],0.165,0.267,0.6709999999999999,0.445,1.56e-05,-7.937,0.0387,125.712,67.0,2
1G391cbiT3v3Cywg8T7DM1,Scar Tissue,['Red Hot Chili Peppers'],0.0779,0.547,0.7170000000000001,0.595,0.00274,-4.803,0.0295,88.969,77.0,3
3d9DChrdc6BOeFsbrZ3Is0,Under the Bridge,['Red Hot Chili Peppers'],0.0576,0.458,0.345,0.5589999999999999,0.000105,-13.496,0.0459,84.581,81.0,4
3cfOd4CMv2snFaKAnMdnvK,All Star,['Smash Mouth'],0.0395,0.7759999999999999,0.867,0.731,0.0,-5.881,0.032,104.019,79.0,3
1XPta4VLT78HQnVFd1hlsK,Today,['The Smashing Pumpkins'],2.53e-05,0.408,0.855,0.476,0.69,-6.046,0.0265,82.955,56.0,1
0cuq829zRNq4AEdmDJA4aw,Two Princes,['Spin Doctors'],0.00164,0.826,0.905,0.545,1.95e-06,-10.732,0.0648,103.574,66.0,2
6zeDYmP3ARpURvpK29Q09P,Someday,['Sugar Ray'],0.0105,0.938,0.682,0.745,0.0862,-4.39,0.0287,110.857,58.0,1
2ouURa1AIXp3AvkS52Jry5,Every Morning,['Sugar Ray'],0.0834,0.975,0.679,0.833,0.00258,-4.496,0.0365,109.916,64.0,2
3uPfVXcjnpOjyzI3jb3js4,Fly,['Sugar Ray'],0.0202,0.674,0.648,0.835,0.225,-8.15,0.0488,99.701,65.0,2
42et6fnHCw1HIPSrdPprMl,Semi-Charmed Life,['Third Eye Blind'],0.00832,0.7,0.8640000000000001,0.64,0.0,-6.5760000000000005,0.0315,102.026,75.0,3
3354J49VpkbZJho7Ztdzpw,Jumper - 1998 Edit,['Third Eye Blind'],0.0129,0.624,0.5429999999999999,0.599,0.00193,-9.226,0.0302,91.105,67.0,2
3Uvx1TO0Kg5HgGPk58lHXv,How's It Going to Be,['Third Eye Blind'],0.00327,0.574,0.593,0.562,0.00139,-9.362,0.0263,80.289,65.0,2
4KoNBTm9a55KgLMtEaf3n6,If You Could Only See,['Tonic'],0.00264,0.578,0.946,0.433,0.0,-5.138,0.0398,95.169,65.0,2
4ocbH5ZJqajZIpUrqRUoue,Meet Virginia,['Train'],0.0863,0.594,0.5529999999999999,0.675,7.58e-06,-7.775,0.0486,90.02,66.0,2
0z1b34WikhOH9ZxU8QDWcv,One Headlight,['The Wallflowers'],0.000655,0.752,0.539,0.701,0.005,-8.968,0.0277,107.531,71.0,2
7GuLQiPvQbfzP0kqcvgIQQ,Desperately Wanting,['Better Than Ezra'],0.000165,0.478,0.913,0.494,0.00898,-5.289,0.0378,99.92,54.0,1
6LxQrMd70EbFNn5zbPIeNG,Extra Ordinary,['Better Than Ezra'],0.0216,0.531,0.774,0.667,0.00026,-4.884,0.0317,92.939,44.0,1
0WgQTMtmw8qJievyeqfnnS,Run Away with You,['Big & Rich'],0.141,0.342,0.8029999999999999,0.535,0.0,-4.1160000000000005,0.0465,147.90200000000004,50.0,1
3wtKovRRtvu6wbTjeKA26Q,I Love You This Big,['Scotty McCreery'],0.0922,0.326,0.647,0.521,8.209999999999999e-05,-6.343999999999999,0.0295,83.963,49.0,1
5JlH51YDYsGj2dyEJKKjcN,Alright,['Darius Rucker'],0.0527,0.711,0.8059999999999999,0.601,0.0,-4.579,0.0345,89.87,67.0,2
53QF56cjZA9RTuuMZDrSA6,I Won't Give Up,['Jason Mraz'],0.6940000000000001,0.142,0.303,0.585,0.0,-10.058,0.0398,136.703,73.0,3
3RJclnBV8g9mvHPtSzPf7c,Ride,"['Ciara', 'Ludacris']",0.00131,0.352,0.7190000000000001,0.6940000000000001,1.47e-05,-4.538,0.0484,129.961,57.0,1
6rbhWExtuchhpLC5fHnB8n,Motivation,"['Kelly Rowland', 'Lil Wayne']",0.187,0.266,0.672,0.7440000000000001,0.000123,-5.589,0.0418,140.889,61.0,2
4KhanrenBxgyXYkFCArMyd,Kisses Down Low,['Kelly Rowland'],0.0166,0.243,0.723,0.632,3.74e-05,-9.323,0.0682,137.958,54.0,1
0nDjzA4kns1QOWPXuOn6Xw,Where The Green Grass Grows,['Tim McGraw'],0.198,0.6729999999999999,0.698,0.479,0.0,-7.914,0.0277,159.69899999999996,65.0,2
4356Typ82hUiFAynbLYbPn,DJ Got Us Fallin' In Love (feat. Pitbull),"['Usher', 'Pitbull']",0.0338,0.654,0.861,0.6629999999999999,0.0,-3.398,0.109,119.963,78.0,3
0JXXNGljqupsJaZsgSbMZV,Sure Thing,['Miguel'],0.0275,0.504,0.603,0.684,0.000311,-8.127,0.0989,81.0,78.0,3
2CvOqDpQIMw69cCzWqr5yr,Halo,Beyoncé,0.273,0.471,0.712,0.422,0.0,-5.907,0.1,78.454,73.0,3
6vSwxzO2Qf4BinHSXRwZJe,Tenerife Sea,['Ed Sheeran'],0.6970000000000001,0.359,0.346,0.53,1.07e-05,-10.497,0.0376,121.876,56.0,1
1PSBzsahR2AKwLJgx8ehBj,Bad Things (with Camila Cabello),"['Machine Gun Kelly', 'Camila Cabello']",0.214,0.305,0.691,0.6970000000000001,0.0,-4.757,0.146,137.85299999999998,73.0,3
3sckKKIx96cjPXtiqPHCTB,Only U - No Intro,['Ashanti'],0.0374,0.278,0.621,0.601,1.75e-06,-5.5760000000000005,0.0434,94.547,55.0,1
5IZc3KIVFhjzJ0L2kiXzUl,Promise (feat. Fetty Wap),"['Kid Ink', 'Fetty Wap']",0.0599,0.481,0.469,0.797,0.0,-8.112,0.0646,103.057,65.0,2
5dLvErR6RBbMMvGuDMdur2,Like You (feat. Ciara),"['Bow Wow', 'Ciara']",0.0504,0.501,0.594,0.547,0.0,-8.389,0.155,81.9,43.0,1
6YdEfXtj0YI5IbiJqVyT1c,They Don't Know,['Jon B.'],0.614,0.556,0.402,0.6970000000000001,3.35e-06,-10.358,0.0476,125.822,48.0,1
3xMQOd1C3TXsjQ3pmzOmkC,Weight of Love,['The Black Keys'],0.03,0.133,0.547,0.282,0.888,-8.621,0.0322,151.468,63.0,2
3JVYnKW43PB7aO1X9kSDxH,In Vein,"['Rick Ross', 'The Weeknd']",0.281,0.635,0.4970000000000001,0.706,0.0,-7.216,0.0369,96.988,56.0,1
0Dc7J9VPV4eOInoxUiZrsL,Don't Tell 'Em,"['Jeremih', 'YG']",0.392,0.386,0.527,0.856,0.0,-5.225,0.0997,98.052,75.0,3
4NpDZPwSXmL0cCTaJuVrCw,Birthday Sex,['Jeremih'],0.297,0.445,0.522,0.679,0.0,-5.603,0.0427,60.014,68.0,2
7seTcUFOhn5caSDbiSfsp0,She Knows,"['Ne-Yo', 'Juicy J']",0.0262,0.574,0.5720000000000001,0.706,0.0,-5.799,0.0326,139.982,60.0,2
5wuXWTCiKIlNEXfwAuTY1G,Drop It Low,"['Ester Dean', 'Chris Brown']",0.0019,0.386,0.7140000000000001,0.723,5.429999999999999e-05,-5.0360000000000005,0.0537,88.04700000000004,53.0,1
7L3YDa0Fd8pmzpAyu6EKOS,Fragile,"['Tech N9ne', 'Kendrick Lamar', 'Mayday', 'Kendall Morgan']",0.0994,0.6729999999999999,0.468,0.715,0.0,-7.664,0.147,194.902,59.0,1
1W7zkKgRv9mrLbfdQ8XyH3,Gangsta,['Kehlani'],0.111,0.11,0.447,0.439,0.0,-8.318,0.0436,121.48,71.0,2
7qiZfU4dY1lWllzX7mPBI3,Shape of You,['Ed Sheeran'],0.581,0.931,0.652,0.825,0.0,-3.1830000000000003,0.0802,95.977,85.0,4
4cM0qNo02rp56x7c6nlx6T,F.B.G.M. (feat. Young M.A.),"['T-Pain', 'Young M.A']",0.127,0.234,0.657,0.6890000000000001,0.0,-3.632,0.0394,77.509,61.0,2
1HOUzEsetdIPSpAgRPhZQt,Nobody Else but You,['Trey Songz'],0.0381,0.263,0.612,0.708,0.0,-6.379,0.122,139.91299999999998,63.0,2
33PowGnnFPgWSGHcGIQX1U,The Business (featuring Casha),['Yung Berg'],0.00867,0.327,0.726,0.63,0.0,-5.372000000000001,0.177,133.317,51.0,1
4z8c9qkpiYghn6DCQ6yA0u,Simple Things (Remix) (feat. Chris Brown & Future),"['Miguel', 'Chris Brown', 'Future']",0.29,0.231,0.561,0.435,1.55e-06,-9.308,0.143,80.209,59.0,1
5a7NdkF09AfD0H607eiOkX,On My Mind,['Ellie Goulding'],0.258,0.743,0.705,0.7020000000000001,5.93e-06,-6.666,0.0543,154.911,65.0,2
5tf1VVWniHgryyumXyJM7w,Sugar (feat. Francesco Yates),"['Robin Schulz', 'Francesco Yates']",0.0185,0.636,0.815,0.636,0.0,-5.098,0.0581,123.063,77.0,3
2ZyuwVvV6Z3XJaXIFbspeE,Wild Things,['Alessia Cara'],0.02,0.706,0.626,0.741,0.0,-4.8260000000000005,0.0886,108.029,62.0,2
5CgFGKdTn8R5dXGEPEX6Gm,Luxury,"['Jon Bellion', 'Audra Mae']",0.0159,0.193,0.393,0.67,0.000307,-9.158,0.122,77.461,54.0,1
7MmG8p0F9N3C4AXdK6o6Eb,Outside (feat. Ellie Goulding),"['Calvin Harris', 'Ellie Goulding']",0.213,0.418,0.823,0.6459999999999999,0.0,-4.123,0.0394,128.035,80.0,4
3aIhJDHxr1kgTSnutJxPTH,Peanut Butter Jelly,['Galantis'],0.00104,0.545,0.945,0.708,0.0803,-3.247,0.234,127.96,65.0,2
1rIKgCH4H52lrvDcz50hS8,Lush Life,['Zara Larsson'],0.133,0.799,0.7120000000000001,0.6940000000000001,0.0,-3.923,0.046,98.022,77.0,3
5Z3zRrMIJk7CVpfcLsM9wD,King,['Years & Years'],0.0594,0.4320000000000001,0.857,0.56,0.0,-4.145,0.0384,119.975,61.0,2
3NLnwwAQbbFKcEcV8hDItk,Perfect,['One Direction'],0.0598,0.396,0.823,0.647,0.0,-5.231,0.0762,99.933,77.0,3
4tCtwWceOPWzenK2HAIJSb,Work from Home (feat. Ty Dolla $ign),"['Fifth Harmony', 'Ty Dolla $ign']",0.103,0.593,0.585,0.8029999999999999,3.94e-06,-5.8610000000000015,0.0432,105.017,78.0,3
6M6Tk58pQvABy6ru66dY3d,No Money,['Galantis'],0.0282,0.78,0.915,0.674,0.00337,-3.999,0.0411,126.038,70.0,2
4iCKHGl4ij4YMwFrUZLGEQ,Kill The Lights (with Nile Rodgers) - Audien Remix,"['Alex Newell', 'Jess Glynne', 'DJ Cassidy', 'Nile Rodgers', 'Audien']",0.0837,0.4270000000000001,0.879,0.647,1.98e-06,-0.93,0.0831,126.042,62.0,2
6JV2JOEocMgcZxYSZelKcc,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,0.0123,0.702,0.83,0.666,0.0,-5.715,0.0751,113.03,80.0,4
6ukvsBzq4d1vBsAUmz7ZVt,Daft Punk,['Pentatonix'],0.00403,0.72,0.621,0.7170000000000001,0.0,-7.587999999999999,0.0605,133.014,61.0,2
3FZEv9JddkjHNFiMVxJYpS,Carry Me (feat. Julia Michaels),"['Kygo', 'Julia Michaels']",0.486,0.222,0.551,0.621,0.0,-7.89,0.0474,105.052,61.0,2
0azC730Exh71aQlOt9Zj3y,This Is What You Came For (feat. Rihanna),"['Calvin Harris', 'Rihanna']",0.199,0.465,0.928,0.63,0.124,-2.787,0.0331,123.963,79.0,3
3lJA6dGqvaKtVxqHbTtQiQ,Greenlight (feat. Flo Rida & LunchMoney Lewis),"Pitbull, Flo Rida, LunchMoney Lewis",0.279,0.633,0.832,0.697,0.0,-5.603,0.267,115.05,52.0,1
6cREm4bV7V79Yxdilx9HDo,Once In a While,['Timeflies'],0.00758,0.345,0.687,0.7859999999999999,0.0,-5.914,0.141,105.021,61.0,2
4qqArAiTPueDxIp7cf87h7,Final Song,['MØ'],0.014,0.245,0.672,0.695,8.44e-05,-6.109,0.0345,104.988,69.0,2
6FE2iI43OZnszFLuLtvvmg,Classic,['MKTO'],0.0384,0.7559999999999999,0.7909999999999999,0.72,0.0,-4.689,0.124,102.071,81.0,4
0HZhYMZOcUzZKSFwPOti6m,Jar of Hearts,['Christina Perri'],0.726,0.0886,0.348,0.349,0.0,-6.142,0.0316,74.541,74.0,3
5WDlNHQW1LmcQIA15oGjiW,distance,['Christina Perri'],0.416,0.108,0.445,0.4,9.03e-06,-7.546,0.0323,150.15,52.0,1
6jI7y83WjuyBne9b3IvdSs,Make It Without You,['Andrew Belle'],0.92,0.161,0.205,0.456,0.00011,-8.437000000000001,0.0313,117.663,49.0,1
21JTgoZLDB2F4Fx0uRCmTL,the lonely,['Christina Perri'],0.573,0.0681,0.269,0.237,0.000283,-9.61,0.0298,81.256,53.0,1
6lanRgr6wXibZr8KgzXxBl,A Thousand Years,['Christina Perri'],0.309,0.161,0.407,0.421,0.000961,-7.445,0.0267,139.028,81.0,4
2r6DdaSbkbwoPzuK6NjLPn,Can't Be Tamed,['Miley Cyrus'],0.0287,0.743,0.91,0.63,0.0,-2.919,0.144,116.98,66.0,2
11EX5yhxr9Ihl3IN1asrfK,Need You Now,['Lady A'],0.0927,0.231,0.622,0.5870000000000001,0.000636,-5.535,0.0303,107.943,69.0,2
6olKv2HP3XgBpvVxAswowe,Bartender,['Lady A'],0.0198,0.654,0.937,0.631,7.38e-06,-3.858,0.034,101.011,62.0,2
7h70RTLbnhDyPGXjl3iEhh,Need You Now,['Lady A'],0.0298,0.316,0.7170000000000001,0.581,0.000186,-4.433,0.0318,107.884,62.0,2
1fidCEsYlaVE3pHwKCvpFZ,Am I Wrong,['Nico & Vinz'],0.175,0.779,0.675,0.7290000000000001,1.58e-06,-6.002999999999999,0.0312,119.968,73.0,3
4GKk1uNzpxIptBuaY97Dkj,Midnight,['Coldplay'],0.615,0.0349,0.475,0.5479999999999999,0.8079999999999999,-12.42,0.0355,126.974,64.0,2
4zzzZ1UNfr75ASG1lUE9L1,Stay - Album Version (Edited),"['Rihanna', 'Mikky Ekko']",0.945,0.125,0.31,0.621,6.12e-05,-10.164,0.0283,111.893,62.0,2
6qn9YLKt13AGvpq9jfO8py,We Found Love,"['Rihanna', 'Calvin Harris']",0.025,0.6,0.7659999999999999,0.7340000000000001,0.00138,-4.485,0.0383,127.986,75.0,3
5JDcQAztvZTIkrWoZihgvC,A Drop In The Ocean,['Ron Pope'],0.785,0.564,0.393,0.447,0.0,-8.65,0.038,73.139,72.0,2
5u0YB9bpmgEPS2bPhwfRFV,arms,['Christina Perri'],0.11,0.252,0.755,0.463,4.89e-06,-7.244,0.0634,145.319,64.0,2
5TAf4lnZCZTLlZHNZMLFLi,I Try,['Macy Gray'],0.313,0.736,0.642,0.593,0.000582,-7.284,0.0299,76.403,72.0,2
1Slwb6dOYkBlWal1PGtnNg,Thinking out Loud,['Ed Sheeran'],0.474,0.591,0.445,0.7809999999999999,0.0,-6.061,0.0295,78.998,68.0,2
6hmhG1b4LEyNuashVvuIAo,Never Forget You,"['Zara Larsson', 'MNEK']",0.00312,0.276,0.732,0.583,9.86e-06,-5.728,0.0457,145.99200000000005,75.0,3
0pSBuHjILhNEo55xK1zrRt,Rolex,['Ayo & Teo'],0.0837,0.789,0.8859999999999999,0.804,0.0,-2.512,0.04,144.946,77.0,3
2n5gVJ9fzeX2SSWlLQuyS9,Fight Night,['Migos'],0.182,0.895,0.706,0.8740000000000001,0.0,-5.1320000000000014,0.207,89.96799999999998,68.0,2
6kex4EBAj0WHXDKZMEJaaF,Swalla (feat. Nicki Minaj & Ty Dolla $ign),"['Jason Derulo', 'Nicki Minaj', 'Ty Dolla $ign']",0.075,0.782,0.8170000000000001,0.696,0.0,-3.862,0.109,98.064,77.0,3
